"subject","section","sessionTitle","date","presentCount","totalCount","pct"
"Advanced Communication Skills","CDU Batch-1 - S-014","Module 1 Quiz","2026-07-13","44","60","73.3"
"Advanced Communication Skills","CDU Batch-1 - S-014","Framing Effective Questions","2026-07-09","46","60","76.7"
"Advanced Communication Skills","CDU Batch-1 - S-014","Real Time Session 2: Activity","2026-07-07","44","60","73.3"
"Advanced Communication Skills","CDU Batch-1 - S-014","Real Time Session 2: Activity","2026-07-03","37","60","61.7"
"Advanced Communication Skills","CDU Batch-1 - S-014","Real Time Session 1: Activity","2026-06-27","21","60","35"
"Advanced Communication Skills","CDU Batch-1 - S-014","Real Time Session 1: Activity","2026-06-24","33","60","55"
"Advanced Communication Skills","CDU Batch-1 - S-014","Designing Clear Prompts","2026-06-19","46","60","76.7"
"Advanced Communication Skills","CDU Batch-1 - S-014","The Language of Connection","2026-06-18","47","60","78.3"
"Advanced Communication Skills","CDU Batch-1 - S-014","Mastering the Art of Discussion","2026-06-16","0","60","0"
"Advanced Communication Skills","CDU Batch-1 - S-014","The Language of Connection","2026-06-13","8","60","13.3"
"Advanced Communication Skills","CDU Batch-1 - S-014","Accuracy in sentence structure","2026-06-11","0","60","0"
"Advanced Communication Skills","CDU Batch-1 - S-015","III semester Project - 6","2026-08-04","39","60","65"
"Advanced Communication Skills","CDU Batch-1 - S-015","III semester Project - 5","2026-08-03","38","60","63.3"
"Advanced Communication Skills","CDU Batch-1 - S-015","III semester Project - 4","2026-07-30","53","60","88.3"
"Advanced Communication Skills","CDU Batch-1 - S-015","III semester Project - 3","2026-07-28","40","60","66.7"
"Advanced Communication Skills","CDU Batch-1 - S-015","III semester Project - 2","2026-07-27","0","60","0"
"Advanced Communication Skills","CDU Batch-1 - S-015","III semester Project - 1","2026-07-22","47","60","78.3"
"Advanced Communication Skills","CDU Batch-1 - S-015","Real Time Session 3: Activity","2026-07-20","45","60","75"
"Advanced Communication Skills","CDU Batch-1 - S-015","Real Time Session 2: Activity","2026-07-17","35","60","58.3"
"Advanced Communication Skills","CDU Batch-1 - S-015","Real Time Session 3: Activity","2026-07-15","36","60","60"
"Advanced Communication Skills","CDU Batch-1 - S-015","Module 1 Quiz","2026-07-13","49","60","81.7"
"Advanced Communication Skills","CDU Batch-1 - S-015","Emphasizing Self-Expression","2026-07-11","33","60","55"
"Advanced Communication Skills","CDU Batch-1 - S-015","Framing Effective Questions","2026-07-08","44","60","73.3"
"Advanced Communication Skills","CDU Batch-1 - S-015","Real Time Session 2: Activity","2026-07-07","45","60","75"
"Advanced Communication Skills","CDU Batch-1 - S-015","Designing Clear Prompts","2026-07-06","42","60","70"
"Advanced Communication Skills","CDU Batch-1 - S-015","Designing Clear Prompts","2026-07-03","52","60","86.7"
"Advanced Communication Skills","CDU Batch-1 - S-015","Real Time Session 1: Activity","2026-06-25","21","60","35"
"Advanced Communication Skills","CDU Batch-1 - S-015","Real Time Session 1: Activity","2026-06-23","40","60","66.7"
